2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,institute
1.155,1.337,1.662,1.705,1.306,1.386,1.642,1.641,1.823,2.149,2.194,Amherst College
0.75,0.87,1.018,1.06,0.88,0.872,1.004,0.964,1.061,1.154,1.168,Baylor University
1.008,1.059,1.278,1.091,0.731,0.799,0.838,0.795,0.873,1.021,1.095,Baylor College of Medicine
0.862,0.949,1.102,1.023,0.791,0.847,0.979,0.943,1.012,1.137,1.101,Berea College
1.27,1.448,1.67,1.631,1.341,1.48,1.726,1.646,1.809,2.131,2.22,Boston College
0.777,0.916,1.101,1.145,0.892,0.992,1.16,1.104,1.369,1.616,1.644,Boston University
0.578,0.673,0.828,0.831,0.688,0.754,0.904,0.902,1.039,1.216,1.393,Bowdoin College
1.844,2.167,2.781,2.747,2.017,2.155,2.497,2.46,2.669,3.0,3.073,Brown University
1.418,1.581,1.86,1.892,1.398,1.545,1.772,1.747,1.849,2.094,2.199,California Institute of Technology
0.837,0.941,1.116,1.067,0.754,0.815,1.017,0.987,1.371,1.6,1.739,Carnegie Mellon University
1.516,1.599,1.841,1.766,1.402,1.462,1.703,1.6,1.678,1.759,1.776,Case Western Reserve University
5.191,5.938,7.15,7.147,5.893,6.517,7.79,7.654,8.197,9.223,9.639,Columbia University
3.777,4.321,5.425,5.385,3.966,4.379,5.059,4.947,5.272,6.312,6.038,Cornell University
2.714,3.092,3.76,3.66,2.825,2.998,3.413,3.486,3.733,4.468,4.663,Dartmouth College
3.826,4.498,5.91,6.124,4.441,4.824,5.747,5.555,6.04,7.037,7.297,Duke University
4.376,4.87,5.562,5.473,4.328,4.694,5.4,5.461,5.816,6.681,6.684,Emory University
0.823,0.963,1.147,1.256,1.011,1.144,1.331,1.306,1.375,1.577,1.616,George Washington University
0.741,0.834,1.059,1.059,0.895,1.01,1.16,1.142,1.286,1.461,1.529,Georgetown University
0.937,1.047,1.281,1.344,0.994,1.051,1.62,1.608,1.714,1.889,1.859,Georgia Institute of Technology
1.391,1.472,1.718,1.472,1.076,1.265,1.5,1.384,1.553,1.83,1.788,Grinnell College
25.473,28.916,34.635,36.556,25.662,27.557,31.728,30.435,32.334,35.883,36.449,Harvard University
1.107,1.276,1.557,1.546,1.227,1.371,1.575,1.577,1.735,1.988,1.974,Indiana University
2.177,2.351,2.8,2.525,1.977,2.22,2.598,2.593,2.987,3.452,3.413,Johns Hopkins University
0.845,0.939,1.086,1.127,0.886,0.94,1.077,1.036,1.103,1.216,1.213,Lehigh University
6.712,8.368,9.98,10.069,7.982,8.317,9.713,10.15,11.005,12.425,13.475,Massachusetts Institute of Technology
0.906,1.048,1.248,1.282,1.047,1.148,1.4,1.407,1.367,2.145,2.275,Michigan State University
0.722,0.782,0.936,0.885,0.7,0.783,0.908,0.88,0.973,1.082,1.101,Middlebury College
1.548,1.775,2.162,2.475,2.094,2.37,2.827,2.755,2.949,3.424,3.576,New York University
4.215,5.141,6.503,7.244,5.445,5.945,7.183,7.119,7.883,9.778,10.193,Northwestern University
1.726,1.997,2.338,2.076,1.652,1.869,2.121,2.366,3.149,3.548,3.634,Ohio State University
1.175,1.326,1.59,1.545,1.226,1.368,1.725,1.78,2.956,3.446,3.636,Pennsylvania State University
1.299,1.457,1.761,1.794,1.334,1.459,1.7,1.68,1.823,2.101,2.099,Pomona College
0.864,0.945,1.019,1.018,0.755,0.811,0.915,0.869,0.931,1.042,1.066,Princeton Theological Seminary
