institute,salary9,salaryAnnual,title,totalFaculty
Alabama A & M University,85374.0,113832.0,Professor,55
Alabama A & M University,64423.0,85897.0,Associate Professor,76
Alabama A & M University,58016.0,77355.0,Assistant Professor,94
Alabama A & M University,42030.0,56041.0,Instructor,33
University of Alabama at Birmingham,140742.0,187656.0,Professor,653
University of Alabama at Birmingham,84534.0,112713.0,Associate Professor,595
University of Alabama at Birmingham,70713.0,94284.0,Assistant Professor,777
University of Alabama at Birmingham,57894.0,77192.0,Instructor,219
Amridge University,34643.0,46192.0,Instructor,41
University of Alabama in Huntsville,117043.0,156058.0,Professor,76
University of Alabama in Huntsville,85869.0,114493.0,Associate Professor,91
University of Alabama in Huntsville,71876.0,95836.0,Assistant Professor,93
University of Alabama in Huntsville,54753.0,73005.0,Instructor,12
University of Alabama in Huntsville,51216.0,68289.0,Lecturer,40
Alabama State University,83111.0,110816.0,Professor,56
Alabama State University,66093.0,88124.0,Associate Professor,65
Alabama State University,53391.0,71189.0,Assistant Professor,92
Alabama State University,38708.0,51612.0,Instructor,50
The University of Alabama,135251.0,180335.0,Professor,331
The University of Alabama,89618.0,119491.0,Associate Professor,318
Alabama A & M University,85374.0,113832.0,Professor,55
Alabama A & M University,64423.0,85897.0,Associate Professor,76
Alabama A & M University,58016.0,77355.0,Assistant Professor,94
Alabama A & M University,42030.0,56041.0,Instructor,33
University of Alabama at Birmingham,140742.0,187656.0,Professor,653
University of Alabama at Birmingham,84534.0,112713.0,Associate Professor,595
University of Alabama at Birmingham,70713.0,94284.0,Assistant Professor,777
University of Alabama at Birmingham,57894.0,77192.0,Instructor,219
Amridge University,34643.0,46192.0,Instructor,41
University of Alabama in Huntsville,117043.0,156058.0,Professor,76
University of Alabama in Huntsville,85869.0,114493.0,Associate Professor,91
University of Alabama in Huntsville,71876.0,95836.0,Assistant Professor,93
University of Alabama in Huntsville,54753.0,73005.0,Instructor,12
University of Alabama in Huntsville,51216.0,68289.0,Lecturer,40
Alabama State University,83111.0,110816.0,Professor,56
Alabama State University,66093.0,88124.0,Associate Professor,65
Alabama State University,53391.0,71189.0,Assistant Professor,92
Alabama State University,38708.0,51612.0,Instructor,50
The University of Alabama,135251.0,180335.0,Professor,331
The University of Alabama,89618.0,119491.0,Associate Professor,318
The University of Alabama,67645.0,90193.0,Assistant Professor,328
The University of Alabama,45720.0,60961.0,Instructor,263
The University of Alabama,78404.0,104539.0,Lecturer,12
Athens State University,84678.0,112904.0,Professor,17
Athens State University,74273.0,99032.0,Associate Professor,27
Athens State University,60178.0,80238.0,Assistant Professor,37
Athens State University,41973.0,55964.0,Instructor,3
Auburn University-Montgomery,83921.0,111895.0,Professor,53
Auburn University-Montgomery,67574.0,90099.0,Associate Professor,67
Auburn University-Montgomery,52986.0,70648.0,Assistant Professor,61
Auburn University-Montgomery,38070.0,50760.0,Instructor,14
Auburn University Main Campus,107560.0,143413.0,Professor,442
Auburn University Main Campus,77519.0,103360.0,Associate Professor,403
Auburn University Main Campus,68888.0,91851.0,Assistant Professor,241
Auburn University Main Campus,43729.0,58306.0,Instructor,89
Auburn University Main Campus,73097.0,97463.0,Lecturer,9
Birmingham-Southern College,80886.0,107848.0,Professor,33
Birmingham-Southern College,65205.0,86940.0,Associate Professor,22
Birmingham-Southern College,59278.0,79038.0,Assistant Professor,25
Birmingham-Southern College,38878.0,51837.0,Instructor,4
